id,anger,fear,joy,sadness,surprise
arq_test_track_a_00001,0,0,1,1,0
arq_test_track_a_00002,0,1,0,1,1
arq_test_track_a_00003,0,0,1,1,0
arq_test_track_a_00004,1,0,0,0,1
arq_test_track_a_00005,0,0,0,0,1
arq_test_track_a_00006,0,0,0,0,0
arq_test_track_a_00007,1,0,0,1,0
arq_test_track_a_00008,0,0,0,1,1
arq_test_track_a_00009,0,1,0,1,1
arq_test_track_a_00010,0,0,1,0,0
arq_test_track_a_00011,1,0,0,0,0
arq_test_track_a_00012,1,0,0,0,0
arq_test_track_a_00013,0,0,0,0,0
arq_test_track_a_00014,0,0,1,0,1
arq_test_track_a_00015,0,0,0,1,0
arq_test_track_a_00016,1,1,0,1,1
arq_test_track_a_00017,0,0,1,1,0
arq_test_track_a_00018,0,0,0,1,0
arq_test_track_a_00019,0,0,0,1,0
arq_test_track_a_00020,0,1,0,1,0
arq_test_track_a_00021,0,0,0,1,0
arq_test_track_a_00022,0,1,0,1,0
arq_test_track_a_00023,1,1,0,0,1
arq_test_track_a_00024,0,0,0,0,1
arq_test_track_a_00025,1,0,0,1,0
arq_test_track_a_00026,1,0,0,0,1
arq_test_track_a_00027,0,0,0,1,0
arq_test_track_a_00028,1,0,0,0,1
arq_test_track_a_00029,1,1,0,1,0
arq_test_track_a_00030,0,1,0,1,0
arq_test_track_a_00031,0,1,0,1,0
arq_test_track_a_00032,0,0,1,0,1
arq_test_track_a_00033,0,0,0,1,0
arq_test_track_a_00034,0,0,0,1,1
arq_test_track_a_00035,0,0,0,0,1
arq_test_track_a_00036,0,1,0,1,0
arq_test_track_a_00037,1,0,0,1,0
arq_test_track_a_00038,0,0,1,0,0
arq_test_track_a_00039,1,0,0,0,1
arq_test_track_a_00040,1,0,0,1,0
arq_test_track_a_00041,0,0,0,0,1
arq_test_track_a_00042,0,0,0,0,1
arq_test_track_a_00043,0,0,0,1,1
arq_test_track_a_00044,0,1,0,1,0
arq_test_track_a_00045,0,1,1,0,0
arq_test_track_a_00046,0,0,0,1,0
arq_test_track_a_00047,0,0,0,0,0
arq_test_track_a_00048,0,1,0,0,1
arq_test_track_a_00049,1,0,0,0,0
arq_test_track_a_00050,0,0,1,0,1
arq_test_track_a_00051,0,0,0,0,1
arq_test_track_a_00052,0,0,1,1,1
arq_test_track_a_00053,0,1,0,0,1
arq_test_track_a_00054,0,1,0,1,0
arq_test_track_a_00055,0,0,1,0,0
arq_test_track_a_00056,0,0,1,0,1
arq_test_track_a_00057,0,0,0,0,0
arq_test_track_a_00058,0,0,0,1,0
arq_test_track_a_00059,0,0,0,0,0
arq_test_track_a_00060,0,0,0,0,0
arq_test_track_a_00061,0,0,0,1,0
arq_test_track_a_00062,1,0,0,0,0
arq_test_track_a_00063,0,0,0,1,1
arq_test_track_a_00064,1,0,0,0,0
arq_test_track_a_00065,0,0,0,1,0
arq_test_track_a_00066,1,0,0,0,1
arq_test_track_a_00067,1,1,0,0,1
arq_test_track_a_00068,0,1,0,0,1
arq_test_track_a_00069,0,0,0,0,0
arq_test_track_a_00070,0,0,0,1,0
arq_test_track_a_00071,0,0,0,0,0
arq_test_track_a_00072,1,0,0,0,0
arq_test_track_a_00073,1,1,0,1,0
arq_test_track_a_00074,0,1,0,1,1
arq_test_track_a_00075,0,1,0,1,0
arq_test_track_a_00076,0,0,1,0,1
arq_test_track_a_00077,0,0,0,1,0
arq_test_track_a_00078,0,1,0,1,1
arq_test_track_a_00079,0,0,0,0,1
arq_test_track_a_00080,0,0,0,1,0
arq_test_track_a_00081,0,1,1,1,0
arq_test_track_a_00082,0,0,1,0,0
arq_test_track_a_00083,0,0,0,0,0
arq_test_track_a_00084,0,0,0,0,1
arq_test_track_a_00085,0,0,0,1,0
arq_test_track_a_00086,0,0,0,0,0
arq_test_track_a_00087,0,1,0,0,1
arq_test_track_a_00088,0,0,0,0,0
arq_test_track_a_00089,0,0,0,1,0
arq_test_track_a_00090,0,0,0,1,0
arq_test_track_a_00091,1,1,0,1,1
arq_test_track_a_00092,1,0,0,1,0
arq_test_track_a_00093,0,1,0,0,0
arq_test_track_a_00094,1,0,0,0,1
arq_test_track_a_00095,1,0,0,1,0
arq_test_track_a_00096,0,0,0,0,0
arq_test_track_a_00097,1,0,0,1,0
arq_test_track_a_00098,0,1,0,0,0
arq_test_track_a_00099,0,0,0,1,0
arq_test_track_a_00100,1,1,0,0,1
arq_test_track_a_00101,0,0,0,0,0
arq_test_track_a_00102,0,0,0,0,0
arq_test_track_a_00103,0,1,0,0,1
arq_test_track_a_00104,0,1,0,1,1
arq_test_track_a_00105,0,0,1,0,0
arq_test_track_a_00106,1,0,0,1,1
arq_test_track_a_00107,0,0,1,1,0
arq_test_track_a_00108,0,0,0,0,0
arq_test_track_a_00109,0,1,0,1,0
arq_test_track_a_00110,0,0,0,1,0
arq_test_track_a_00111,1,1,0,1,0
arq_test_track_a_00112,1,0,0,0,1
arq_test_track_a_00113,0,0,0,0,0
arq_test_track_a_00114,1,0,0,0,1
arq_test_track_a_00115,1,1,0,1,0
arq_test_track_a_00116,1,0,0,0,0
arq_test_track_a_00117,0,1,0,0,0
arq_test_track_a_00118,0,0,0,1,0
arq_test_track_a_00119,1,0,0,1,0
arq_test_track_a_00120,0,0,1,0,0
arq_test_track_a_00121,0,0,0,0,1
arq_test_track_a_00122,1,0,0,0,0
arq_test_track_a_00123,0,1,0,1,1
arq_test_track_a_00124,0,0,1,0,0
arq_test_track_a_00125,0,0,1,0,0
arq_test_track_a_00126,1,0,1,0,0
arq_test_track_a_00127,1,0,0,1,0
arq_test_track_a_00128,0,0,1,0,1
arq_test_track_a_00129,0,0,0,1,0
arq_test_track_a_00130,1,1,0,1,0
arq_test_track_a_00131,0,1,0,0,0
arq_test_track_a_00132,0,1,0,0,1
arq_test_track_a_00133,0,0,0,1,0
arq_test_track_a_00134,0,0,0,1,0
arq_test_track_a_00135,1,0,0,1,0
arq_test_track_a_00136,1,1,0,1,0
arq_test_track_a_00137,0,0,1,1,0
arq_test_track_a_00138,0,0,0,0,0
arq_test_track_a_00139,0,1,0,1,1
arq_test_track_a_00140,0,0,0,0,1
arq_test_track_a_00141,0,0,1,0,1
arq_test_track_a_00142,0,0,0,1,1
arq_test_track_a_00143,0,0,0,1,0
arq_test_track_a_00144,0,0,0,1,0
arq_test_track_a_00145,0,0,0,0,1
arq_test_track_a_00146,1,0,0,0,0
arq_test_track_a_00147,0,0,0,0,1
arq_test_track_a_00148,0,0,0,0,1
arq_test_track_a_00149,0,0,0,0,0
arq_test_track_a_00150,1,0,0,0,0
arq_test_track_a_00151,1,1,0,1,0
arq_test_track_a_00152,0,0,1,0,1
arq_test_track_a_00153,0,0,1,0,0
arq_test_track_a_00154,1,0,0,1,0
arq_test_track_a_00155,1,0,0,0,0
arq_test_track_a_00156,0,0,0,0,1
arq_test_track_a_00157,0,0,0,0,0
arq_test_track_a_00158,0,0,1,0,0
arq_test_track_a_00159,1,1,0,1,0
arq_test_track_a_00160,0,1,0,0,0
arq_test_track_a_00161,0,0,0,1,0
arq_test_track_a_00162,1,0,0,1,0
arq_test_track_a_00163,0,0,1,1,0
arq_test_track_a_00164,0,0,0,0,0
arq_test_track_a_00165,1,0,0,0,0
arq_test_track_a_00166,1,1,0,1,0
arq_test_track_a_00167,1,0,0,0,0
arq_test_track_a_00168,0,0,0,1,0
arq_test_track_a_00169,0,0,1,0,0
arq_test_track_a_00170,1,1,0,1,0
arq_test_track_a_00171,0,1,0,0,1
arq_test_track_a_00172,0,0,0,0,1
arq_test_track_a_00173,0,1,0,1,1
arq_test_track_a_00174,0,0,0,1,0
arq_test_track_a_00175,1,0,1,0,1
arq_test_track_a_00176,0,0,0,1,1
arq_test_track_a_00177,0,1,0,1,0
arq_test_track_a_00178,0,0,0,1,0
arq_test_track_a_00179,0,0,0,0,1
arq_test_track_a_00180,0,0,1,1,0
arq_test_track_a_00181,0,0,0,0,0
arq_test_track_a_00182,0,0,0,1,0
arq_test_track_a_00183,0,1,0,0,1
arq_test_track_a_00184,0,0,0,1,0
arq_test_track_a_00185,0,0,0,0,1
arq_test_track_a_00186,1,1,0,0,1
arq_test_track_a_00187,1,0,0,0,1
arq_test_track_a_00188,1,0,0,0,0
arq_test_track_a_00189,0,1,0,0,1
arq_test_track_a_00190,0,0,0,1,0
arq_test_track_a_00191,1,1,0,1,0
arq_test_track_a_00192,1,0,0,0,0
arq_test_track_a_00193,0,0,0,0,0
arq_test_track_a_00194,0,0,0,0,1
arq_test_track_a_00195,0,1,0,0,1
arq_test_track_a_00196,0,1,0,1,1
arq_test_track_a_00197,0,0,1,0,1
arq_test_track_a_00198,0,0,1,0,1
arq_test_track_a_00199,1,0,0,0,0
arq_test_track_a_00200,0,1,0,1,0
arq_test_track_a_00201,1,1,0,1,0
